"","featureid","mz","rt","DTXSID","DB_name","name_original","formula_cleaned","group","mean_visit1","mean_N_OW","of_interest_cat","NFF_intensityTRUE"
"988","223.09662-312.8",223.09662,312.8,"DTXSID9047201","DTXSID9047201","Vanillin,isobutyrate","C12H14O4","firefighter",181964.684127261,NA,0,1
"989","195.10154-474.3",195.10154,474.3,"DTXSID9047203","DTXSID9047203","Phenoxyethyl,propionate","C11H14O3","firefighter",77811.3198123945,NA,0,1
"990","189.12759-1163.3",189.12759,1163.3,"DTXSID9047419","DTXSID9047419","5-Methyl-2-phenyl-2-hexenal","C13H16O","firefighter",13758.9122521705,NA,0,1
"991","357.29958-1043.1",357.29958,1043.1,"DTXSID9047623","DTXSID9047623","Dihexyl,nonanedioate","C21H40O4","firefighter",14189.5138160017,NA,0,1
"992","265.17775-655.8",265.17775,655.8,"DTXSID9047885","DTXSID9047885","Nonylparaben","C16H24O3","firefighter",234126.28517097,NA,0,1
"993","209.11732-681.9",209.11732,681.9,"DTXSID9047887","DTXSID9047887","Pentylparaben","C12H16O3","firefighter",46810.382000915,NA,0,1
"994","317.24811-1094.2",317.24811,1094.2,"DTXSID9048190","DTXSID9048190","Methyl,abietate","C21H32O2","firefighter",608965.461007441,NA,0,1
"995","167.08982-132.5",167.08982,132.5,"DTXSID9048196","DTXSID9048196","4-tert-Butylbenzenethiol","C10H14S","firefighter",258336.332504796,NA,1,1
"996","197.1287-222.4",197.1287,222.4,"DTXSID9048855","DTXSID9048855","Fasoracetam","C10H16N2O2","firefighter",428834.839645634,NA,0,1
"997","197.12865-226.4",197.12865,226.4,"DTXSID9048855","DTXSID9048855","Fasoracetam","C10H16N2O2","firefighter",440073.275041518,NA,0,1
"998","290.14418-471.8",290.14418,471.8,"DTXSID9048859","DTXSID9048859","Chloropyramine,hydrochloride","C16H21Cl2N3","firefighter",28297.6016193751,NA,0,1
"999","357.20121-611.4",357.20121,611.4,"DTXSID9048936","DTXSID9048936","cis-N-(1-(2-(2-Thienyl)ethyl)-3-methyl-4-piperidyl)-N-phenylpropanamide,hydrochloride","C21H29ClN2OS","firefighter",59034.5679313575,NA,0,1
"1000","123.04413-72.9",123.04413,72.9,"DTXSID9049295","DTXSID9049295","(E)-3-(2-Furyl)acrolein","C7H6O2","firefighter",10276.3792046761,NA,0,1
"1001","123.04394-729.1",123.04394,729.1,"DTXSID9049295","DTXSID9049295","(E)-3-(2-Furyl)acrolein","C7H6O2","firefighter",10871.2694411546,NA,0,1
"1002","123.04302-235.8",123.04302,235.8,"DTXSID9049295","DTXSID9049295","(E)-3-(2-Furyl)acrolein","C7H6O2","firefighter",11350.8963113385,NA,0,1
"1003","150.07741-92.2",150.07741,92.2,"DTXSID9049376","DTXSID9049376","7-Methyladenine","C6H7N5","firefighter",42386.656437919,NA,0,1
"1004","150.07758-205.8",150.07758,205.8,"DTXSID9049376","DTXSID9049376","7-Methyladenine","C6H7N5","firefighter",10428.6181312684,NA,0,1
"1005","371.15906-515",371.15906,515,"DTXSID9049401","DTXSID9049401","Thioridazine,hydrochloride","C21H27ClN2S2","firefighter",3498.21203701218,NA,0,0
"1006","181.08612-312.8",181.08612,312.8,"DTXSID9052181","DTXSID9052181","4-(1-Hydroxyethyl)phenyl,acetate","C10H12O3","firefighter",438456.559740933,NA,0,1
"1007","209.1905-707.3",209.1905,707.3,"DTXSID9052345","DTXSID9052345","1-Methyl-4-(4-methylpentyl)cyclohex-3-ene-1-carbaldehyde","C14H24O","firefighter",123516.126954797,NA,0,1
"1008","351.15733-797.4",351.15733,797.4,"DTXSID9057840","DTXSID9057840","Dienestrol,diacetate","C22H22O4","firefighter",30376.2759632422,NA,0,1
"1009","455.06853-131.5",455.06853,131.5,"DTXSID90583413","DTXSID90583413","4-((PERFLUOROHEXYL)ETHYL)PHENYLMETHANOL","C15H11F13O","firefighter",12291.1288394808,NA,1,1
"1010","455.06848-112.6",455.06848,112.6,"DTXSID90583413","DTXSID90583413","4-((PERFLUOROHEXYL)ETHYL)PHENYLMETHANOL","C15H11F13O","firefighter",4526.4260318124,NA,1,0
"1011","309.24242-987.4",309.24242,987.4,"DTXSID9058600","DTXSID9058600","2-[2-(4-Nonylphenoxy)ethoxy]ethanol","C19H32O3","firefighter",43308.6768220184,NA,0,1
"1012","309.2416-923.3",309.2416,923.3,"DTXSID9058600","DTXSID9058600","2-[2-(4-Nonylphenoxy)ethoxy]ethanol","C19H32O3","firefighter",40237.3643303067,NA,0,1
"1013","395.26293-357.5",395.26293,357.5,"DTXSID9064051","DTXSID9064051","1H-Azepine-1-carboxamide,,N,N'-1,6-hexanediylbis[hexahydro-2-oxo-","C20H34N4O4","firefighter",18479.2709913338,NA,0,1
"1014","165.05479-729.1",165.05479,729.1,"DTXSID9065867","DTXSID9065867","Benzeneacetic,acid,,.alpha.-oxo,-,methyl,ester","C9H8O3","firefighter",56722.9554038353,NA,0,1
"1015","205.19496-1176.8",205.19496,1176.8,"DTXSID9066679","DTXSID9066679","1,5,9-Cyclododecatriene,,1,5,10-trimethyl-","C15H24","firefighter",3098.67764634458,NA,0,0
"1016","284.11108-301.8",284.11108,301.8,NA,"MTX787",NA,NA,"firefighter",14743.3095342674,NA,0,1
"1017","226.02448-131.5",226.02448,131.5,NA,"MTX143",NA,NA,"firefighter",31774.7301490366,NA,0,1
"1018","180.10191-343.6",180.10191,343.6,NA,"MTX101",NA,NA,"firefighter",33411.4466415964,NA,0,1
"1019","301.1454-684.9",301.1454,684.9,NA,"MTX605",NA,NA,"firefighter",8311.43938844891,NA,0,0
"1020","301.1454-684.9",301.1454,684.9,NA,"MTX199",NA,NA,"firefighter",8311.43938844891,NA,0,0
"1021","342.15573-183.9",342.15573,183.9,NA,"MTX35",NA,NA,"firefighter",51103.9859159987,NA,0,1
"1022","443.20104-662",443.20104,662,NA,"MTX220",NA,NA,"firefighter",3421.44537179369,NA,0,0
"1023","442.1545-560.2",442.1545,560.2,NA,"MTX234",NA,NA,"firefighter",17972.0046080482,NA,0,1
"1024","548.22066-585.4",548.22066,585.4,NA,"MTX906",NA,NA,"firefighter",12168.8128272768,NA,0,1
"1025","325.04707-168.3",325.04707,168.3,NA,"MTX974",NA,NA,"firefighter",18570.7830316223,NA,0,1
"1026","264.05521-133",264.05521,133,NA,"MTX581",NA,NA,"firefighter",6261.00300995274,NA,0,0
"1027","301.14978-418.6",301.14978,418.6,NA,"MTX605",NA,NA,"firefighter",10910.2484614061,NA,0,1
"1028","299.1209-87.8",299.1209,87.8,NA,"MTX402",NA,NA,"firefighter",5995.574519768,NA,0,0
"1029","523.13916-333.5",523.13916,333.5,NA,"MTX912",NA,NA,"firefighter",1910.77009947485,NA,0,0
"1030","136.07531-74.2",136.07531,74.2,NA,"MTX872",NA,NA,"firefighter",27611.7023490964,NA,0,1
"1031","136.07561-360.7",136.07561,360.7,NA,"MTX872",NA,NA,"firefighter",54172.5690667161,NA,0,1
"1032","166.08658-110.1",166.08658,110.1,NA,"MTX1015",NA,NA,"firefighter",1216509.40464387,NA,0,1
"1033","226.02455-110.6",226.02455,110.6,NA,"MTX143",NA,NA,"firefighter",23007.3580962445,NA,0,1
"1034","246.07122-67.9",246.07122,67.9,NA,"MTX716",NA,NA,"firefighter",37349.0299531571,NA,0,1
"1035","282.11988-91.8",282.11988,91.8,NA,"MTX310",NA,NA,"firefighter",138957.787678429,NA,0,1
"1036","285.09952-188.6",285.09952,188.6,NA,"MTX702",NA,NA,"firefighter",23833.1222556508,NA,0,1
"1037","285.09952-188.6",285.09952,188.6,NA,"MTX794",NA,NA,"firefighter",23833.1222556508,NA,0,1
"1038","357.11845-350",357.11845,350,NA,"MTX426",NA,NA,"firefighter",155360.097611336,NA,0,1
"1039","299.11024-428.1",299.11024,428.1,NA,"MTX212",NA,NA,"firefighter",51842.2650152724,NA,0,1
"1040","299.1209-87.8",299.1209,87.8,NA,"MTX1016",NA,NA,"firefighter",5995.574519768,NA,0,0
"1041","299.1209-87.8",299.1209,87.8,NA,"MTX446",NA,NA,"firefighter",5995.574519768,NA,0,0
"1042","299.12343-495.4",299.12343,495.4,NA,"MTX446",NA,NA,"firefighter",8034.07659753302,NA,0,0
"1043","472.23835-343.1",472.23835,343.1,NA,"MTX287",NA,NA,"firefighter",5368.15178960854,NA,0,0
"1044","341.1569-640.7",341.1569,640.7,NA,"MTX878",NA,NA,"firefighter",15416.8199399642,NA,0,1
"1045","576.1857-598",576.1857,598,NA,"MTX663",NA,NA,"firefighter",6565.40570551685,NA,0,0
"1046","485.14606-612.1",485.14606,612.1,NA,"MTX592",NA,NA,"firefighter",813.067134575807,NA,0,0
"1047","989.64535-902.5",989.64535,902.5,NA,"MTX138",NA,NA,"firefighter",1967.28982572033,NA,0,0
"1048","989.6617-919.9",989.6617,919.9,NA,"MTX138",NA,NA,"firefighter",4921.29810631725,NA,0,0
"1049","375.15464-367",375.15464,367,NA,"MTX678",NA,NA,"firefighter",20222.3823813147,NA,0,1
"1050","463.16357-702.8",463.16357,702.8,NA,"MTX23",NA,NA,"firefighter",2363.21907887105,NA,0,0
"1051","380.11562-429.6",380.11562,429.6,NA,"MTX201",NA,NA,"firefighter",3633.11422078828,NA,0,0
"1052","336.13975-350",336.13975,350,NA,"MTX393",NA,NA,"firefighter",138017.717597752,NA,0,1
"1053","753.81005-205.9",753.81005,205.9,NA,"MTX92",NA,NA,"firefighter",1380.4012448596,NA,0,0
"1054","443.20104-662",443.20104,662,NA,"MTX219",NA,NA,"firefighter",3421.44537179369,NA,0,0
"1055","431.16817-168.3",431.16817,168.3,NA,"MTX31",NA,NA,"firefighter",29428.7038073445,NA,0,1
"1056","576.1857-598",576.1857,598,NA,"MTX1023",NA,NA,"firefighter",6565.40570551685,NA,0,0
"1057","425.13706-568.1",425.13706,568.1,NA,"MTX414",NA,NA,"firefighter",200925.056894765,NA,0,1
"1058","309.0816-158.8",309.0816,158.8,NA,"MTX769",NA,NA,"firefighter",33215.2376257717,NA,0,1
"1059","313.12581-403.7",313.12581,403.7,NA,"MTX72",NA,NA,"firefighter",21332.0520128391,NA,0,1
"1060","285.0947-267.6",285.0947,267.6,NA,"MTX794",NA,NA,"firefighter",7175.74235480897,NA,0,0
"1061","285.0947-267.6",285.0947,267.6,NA,"MTX702",NA,NA,"firefighter",7175.74235480897,NA,0,0
"1062","355.17237-433.5",355.17237,433.5,NA,"MTX685",NA,NA,"firefighter",15170.2524722691,NA,0,1
"1063","301.14978-418.6",301.14978,418.6,NA,"MTX199",NA,NA,"firefighter",10910.2484614061,NA,0,1
"1064","573.37376-995.4",573.37376,995.4,NA,"MTX537",NA,NA,"firefighter",107300.409194958,NA,0,1
"1065","648.2546-239.8",648.2546,239.8,NA,"MTX708",NA,NA,"firefighter",6150.06776571657,NA,0,0
"1066","389.17101-381.9",389.17101,381.9,NA,"MTX595",NA,NA,"firefighter",1654.07870688132,NA,0,0
"1067","564.23384-620.8",564.23384,620.8,NA,"MTX329",NA,NA,"firefighter",2963.72581624165,NA,0,0
"1068","473.19344-331.2",473.19344,331.2,NA,"MTX415",NA,NA,"firefighter",19850.0495471434,NA,0,1
"1069","361.13821-359.7",361.13821,359.7,NA,"MTX195",NA,NA,"firefighter",7292.92585088457,NA,0,0
"1070","285.09927-158.8",285.09927,158.8,NA,"MTX702",NA,NA,"firefighter",34425.5055422587,NA,0,1
"1071","565.19571-412.7",565.19571,412.7,NA,"MTX434",NA,NA,"firefighter",10675.4772567775,NA,0,1
"1072","299.12343-495.4",299.12343,495.4,NA,"MTX402",NA,NA,"firefighter",8034.07659753302,NA,0,0
"1073","463.16357-702.8",463.16357,702.8,NA,"MTX24",NA,NA,"firefighter",2363.21907887105,NA,0,0
"1074","485.14507-702.8",485.14507,702.8,NA,"MTX592",NA,NA,"firefighter",1753.59336304726,NA,0,0
"1075","564.22461-679.4",564.22461,679.4,NA,"MTX329",NA,NA,"firefighter",817.824146799529,NA,0,0
"1076","328.13865-124.9",328.13865,124.9,NA,"MTX366",NA,NA,"firefighter",53858.0125282546,NA,0,1
"1077","389.17089-523.4",389.17089,523.4,NA,"MTX595",NA,NA,"firefighter",11666.7352284026,NA,0,1
"1078","353.07321-308.9",353.07321,308.9,NA,"MTX531",NA,NA,"firefighter",2314.7630546082,NA,0,0
"1079","299.12343-495.4",299.12343,495.4,NA,"MTX1016",NA,NA,"firefighter",8034.07659753302,NA,0,0
"1080","338.11823-83.8",338.11823,83.8,NA,"MTX660",NA,NA,"firefighter",55080.9989111217,NA,0,1
"1081","608.13075-484.2",608.13075,484.2,NA,"MTX1058",NA,NA,"firefighter",18846.7412346041,NA,0,1
"1082","709.77594-194.4",709.77594,194.4,NA,"MTX332",NA,NA,"firefighter",68100.8620984485,NA,0,1
"1083","325.04707-168.3",325.04707,168.3,NA,"MTX973",NA,NA,"firefighter",18570.7830316223,NA,0,1
"1084","413.13632-444.5",413.13632,444.5,NA,"MTX433",NA,NA,"firefighter",79616.0548345073,NA,0,1
"1085","335.08368-448.5",335.08368,448.5,NA,"MTX288",NA,NA,"firefighter",27395.368488106,NA,0,1
"1086","180.06563-134.5",180.06563,134.5,NA,"MTX963",NA,NA,"firefighter",51610.6034298272,NA,0,1
"1087","369.13415-83.3",369.13415,83.3,NA,"MTX997",NA,NA,"firefighter",39751.3434533009,NA,0,1
"1088","709.77594-194.4",709.77594,194.4,NA,"MTX330",NA,NA,"firefighter",68100.8620984485,NA,0,1
"1089","709.77594-194.4",709.77594,194.4,NA,"MTX331",NA,NA,"firefighter",68100.8620984485,NA,0,1
"1090","455.1439-516.5",455.1439,516.5,NA,"MTX896",NA,NA,"firefighter",10052.6601023738,NA,0,1
"1091","166.08658-110.1",166.08658,110.1,NA,"MTX594",NA,NA,"firefighter",1216509.40464387,NA,0,1
"1092","429.12513-161.4",429.12513,161.4,NA,"MTX74",NA,NA,"firefighter",32871.1457794965,NA,0,1
"1093","492.2341-338.1",492.2341,338.1,NA,"MTX1018",NA,NA,"firefighter",23103.5754976159,NA,0,1
"1094","299.11024-428.1",299.11024,428.1,NA,"MTX441",NA,NA,"firefighter",51842.2650152724,NA,0,1
"1095","478.20591-383.4",478.20591,383.4,NA,"MTX323",NA,NA,"firefighter",5899.41918778116,NA,0,0
"1096","285.09927-158.8",285.09927,158.8,NA,"MTX794",NA,NA,"firefighter",34425.5055422587,NA,0,1
"1097","610.37026-885.1",610.37026,885.1,NA,"MTX745",NA,NA,"firefighter",7365.85638776761,NA,0,0
"1098","628.22023-526.4",628.22023,526.4,NA,"MTX807",NA,NA,"firefighter",7700.74391405852,NA,0,0
"1099","442.1545-560.2",442.1545,560.2,NA,"MTX233",NA,NA,"firefighter",17972.0046080482,NA,0,1
"1100","476.19016-384.9",476.19016,384.9,NA,"MTX200",NA,NA,"firefighter",8738.97627451788,NA,0,0
"1101","351.12379-124.5",351.12379,124.5,NA,"MTX218",NA,NA,"firefighter",20137.4405159107,NA,0,1
"1102","342.15573-183.9",342.15573,183.9,NA,"MTX741",NA,NA,"firefighter",51103.9859159987,NA,0,1
"1103","478.20591-383.4",478.20591,383.4,NA,"MTX322",NA,NA,"firefighter",5899.41918778116,NA,0,0
"1104","361.13821-359.7",361.13821,359.7,NA,"MTX818",NA,NA,"firefighter",7292.92585088457,NA,0,0
"1105","476.18054-794.7",476.18054,794.7,NA,"MTX739",NA,NA,"firefighter",6565.07457528675,NA,0,0
"1106","102.05482-45.2",102.05482,45.2,"DTXSID1040164","DTXSID1040164","3-Oxobutanamide","C4H7NO2","nurse",NA,21415.69278,0,1
"1107","102.05482-45.2",102.05482,45.2,"DTXSID1051856","DTXSID1051856","Allyl,carbamate","C4H7NO2","nurse",NA,21415.69278,0,1
"1108","104.10708-62.7",104.10708,62.7,"DTXSID5031210","DTXSID5031210","Dimepranol","C5H13NO","nurse",NA,3184893.026,1,1
"1109","104.1071-67",104.1071,67,"DTXSID5031210","DTXSID5031210","Dimepranol","C5H13NO","nurse",NA,5142567.688,1,1
"1110","104.10728-70.3",104.10728,70.3,"DTXSID5031210","DTXSID5031210","Dimepranol","C5H13NO","nurse",NA,4748789.095,1,1
"1111","110.07098-63.8",110.07098,63.8,"DTXSID0051493","DTXSID0051493","2,3-Diaminopyridine","C5H7N3","nurse",NA,9892.478475,0,0
"1112","110.07098-63.8",110.07098,63.8,"DTXSID0040127","DTXSID0040127","2,6-Diaminopyridine","C5H7N3","nurse",NA,9892.478475,0,0
"1113","114.06612-71.1",114.06612,71.1,"DTXSID8045987","DTXSID8045987","Creatinine","C4H7N3O","nurse",NA,185898.2764,0,1
"1114","114.06617-67.5",114.06617,67.5,"DTXSID8045987","DTXSID8045987","Creatinine","C4H7N3O","nurse",NA,168530.5007,0,1
"1115","114.06621-73.5",114.06621,73.5,"DTXSID8045987","DTXSID8045987","Creatinine","C4H7N3O","nurse",NA,203696.4759,0,1
"1116","115.07519-408.5",115.07519,408.5,"DTXSID4027159","DTXSID4027159","Caprolactone","C6H10O2","nurse",NA,19881.77291,0,1
"1117","115.07519-408.5",115.07519,408.5,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione","C6H10O2","nurse",NA,19881.77291,0,1
"1118","115.07519-408.5",115.07519,408.5,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol","C6H10O2","nurse",NA,19881.77291,0,1
"1119","115.07519-408.5",115.07519,408.5,"DTXSID1025308","DTXSID1025308","Ethyl,methacrylate","C6H10O2","nurse",NA,19881.77291,0,1
"1120","115.07519-408.5",115.07519,408.5,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione","C6H10O2","nurse",NA,19881.77291,0,1
"1121","115.07519-408.5",115.07519,408.5,"DTXSID8030138","DTXSID8030138","2,5-Hexanedione","C6H10O2","nurse",NA,19881.77291,0,1
"1122","115.07519-408.5",115.07519,408.5,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone","C6H10O2","nurse",NA,19881.77291,0,1
"1123","115.07528-503.4",115.07528,503.4,"DTXSID4027159","DTXSID4027159","Caprolactone","C6H10O2","nurse",NA,4985.380263,0,0
"1124","115.07528-503.4",115.07528,503.4,"DTXSID1025308","DTXSID1025308","Ethyl,methacrylate","C6H10O2","nurse",NA,4985.380263,0,0
"1125","115.07528-503.4",115.07528,503.4,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone","C6H10O2","nurse",NA,4985.380263,0,0
"1126","115.07528-503.4",115.07528,503.4,"DTXSID8030138","DTXSID8030138","2,5-Hexanedione","C6H10O2","nurse",NA,4985.380263,0,0
"1127","115.07528-503.4",115.07528,503.4,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione","C6H10O2","nurse",NA,4985.380263,0,0
"1128","115.07528-503.4",115.07528,503.4,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol","C6H10O2","nurse",NA,4985.380263,0,0
"1129","115.07528-503.4",115.07528,503.4,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione","C6H10O2","nurse",NA,4985.380263,0,0
"1130","115.07542-768",115.07542,768,"DTXSID2047066","DTXSID2047066","2,3-Hexanedione","C6H10O2","nurse",NA,28761.85624,0,1
"1131","115.07542-768",115.07542,768,"DTXSID3047681","DTXSID3047681","3,4-Hexanedione","C6H10O2","nurse",NA,28761.85624,0,1
"1132","115.07542-768",115.07542,768,"DTXSID3044910","DTXSID3044910","Hex-3-yne-2,5-diol","C6H10O2","nurse",NA,28761.85624,0,1
"1133","115.07542-768",115.07542,768,"DTXSID4027159","DTXSID4027159","Caprolactone","C6H10O2","nurse",NA,28761.85624,0,1
"1134","115.07542-768",115.07542,768,"DTXSID8041298","DTXSID8041298","gamma-Caprolactone","C6H10O2","nurse",NA,28761.85624,0,1
"1135","115.07542-768",115.07542,768,"DTXSID1025308","DTXSID1025308","Ethyl,methacrylate","C6H10O2","nurse",NA,28761.85624,0,1
"1136","115.07542-768",115.07542,768,"DTXSID8030138","DTXSID8030138","2,5-Hexanedione","C6H10O2","nurse",NA,28761.85624,0,1
"1137","117.06979-923.6",117.06979,923.6,"DTXSID8042052","DTXSID8042052","Indene","C9H8","nurse",NA,8182.633391,0,0
"1138","132.10183-85.1",132.10183,85.1,"DTXSID0020070","DTXSID0020070","6-Aminocaproic,acid","C6H13NO2","nurse",NA,600963.4413,0,1
"1139","132.10183-85.1",132.10183,85.1,"DTXSID2022090","DTXSID2022090","4-(2-Hydroxyethyl)morpholine","C6H13NO2","nurse",NA,600963.4413,1,1
"1140","132.10183-85.1",132.10183,85.1,"DTXSID2046882","DTXSID2046882","DL-Isoleucine","C6H13NO2","nurse",NA,600963.4413,0,1
"1141","132.10183-85.1",132.10183,85.1,"DTXSID2064600","DTXSID2064600","Sodium,6-aminohexanoate","C6H13NO2","nurse",NA,600963.4413,1,1
"1142","132.10183-85.1",132.10183,85.1,"DTXSID6046347","DTXSID6046347","D-Leucine","C6H13NO2","nurse",NA,600963.4413,0,1
"1143","137.05982-288.9",137.05982,288.9,"DTXSID1051690","DTXSID1051690","2-Methoxybenzaldehyde","C8H8O2","nurse",NA,56235.22095,0,1
"1144","137.05982-288.9",137.05982,288.9,"DTXSID1021617","DTXSID1021617","3-Methylbenzoic,acid","C8H8O2","nurse",NA,56235.22095,0,1
"1145","137.05982-288.9",137.05982,288.9,"DTXSID6021618","DTXSID6021618","4-Methylbenzoic,acid","C8H8O2","nurse",NA,56235.22095,0,1
"1146","137.05982-288.9",137.05982,288.9,"DTXSID7040285","DTXSID7040285","2-Hydroxyacetophenone","C8H8O2","nurse",NA,56235.22095,0,1
"1147","137.05982-288.9",137.05982,288.9,"DTXSID2025345","DTXSID2025345","Furfural,acetone","C8H8O2","nurse",NA,56235.22095,0,1
"1148","137.05982-288.9",137.05982,288.9,"DTXSID0029133","DTXSID0029133","4-Hydroxyacetophenone","C8H8O2","nurse",NA,56235.22095,0,1
"1149","137.05982-288.9",137.05982,288.9,"DTXSID5025572","DTXSID5025572","Methyl,benzoate","C8H8O2","nurse",NA,56235.22095,0,1
"1150","137.05982-288.9",137.05982,288.9,"DTXSID3051626","DTXSID3051626","Phenyl,acetate","C8H8O2","nurse",NA,56235.22095,0,1
"1151","137.05982-288.9",137.05982,288.9,"DTXSID5044447","DTXSID5044447","3-Methoxybenzaldehyde","C8H8O2","nurse",NA,56235.22095,0,1
"1152","144.10176-54.5",144.10176,54.5,"DTXSID3029289","DTXSID3029289","Oxazolidine-E","C7H13NO2","nurse",NA,18609.01184,0,1
"1153","144.10176-54.5",144.10176,54.5,"DTXSID5025100","DTXSID5025100","2-(Dimethylamino)ethyl,acrylate","C7H13NO2","nurse",NA,18609.01184,0,1
"1154","144.10178-62.7",144.10178,62.7,"DTXSID3029289","DTXSID3029289","Oxazolidine-E","C7H13NO2","nurse",NA,51309.88612,0,1
"1155","144.10178-62.7",144.10178,62.7,"DTXSID5025100","DTXSID5025100","2-(Dimethylamino)ethyl,acrylate","C7H13NO2","nurse",NA,51309.88612,0,1
"1156","144.10181-59.5",144.10181,59.5,"DTXSID3029289","DTXSID3029289","Oxazolidine-E","C7H13NO2","nurse",NA,60467.10562,0,1
"1157","144.10181-59.5",144.10181,59.5,"DTXSID5025100","DTXSID5025100","2-(Dimethylamino)ethyl,acrylate","C7H13NO2","nurse",NA,60467.10562,0,1
"1158","146.06016-165.3",146.06016,165.3,"DTXSID6025436","DTXSID6025436","8-Hydroxyquinoline,sulfate","C18H16N2O6S","nurse",NA,231259.9624,0,1
"1159","146.06016-165.3",146.06016,165.3,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","nurse",NA,231259.9624,0,1
"1160","146.06016-165.3",146.06016,165.3,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","nurse",NA,231259.9624,1,1
"1161","146.06016-169.2",146.06016,169.2,"DTXSID00620545","DTXSID00620545","N,N-DIMETHYL-2H-PERFLUOROETHANAMINE","C4H7F4N","nurse",NA,216227.7692,1,1
"1162","146.06016-169.2",146.06016,169.2,"DTXSID5020730","DTXSID5020730","8-Hydroxyquinoline","C9H7NO","nurse",NA,216227.7692,0,1
"1163","146.06016-169.2",146.06016,169.2,"DTXSID6025436","DTXSID6025436","8-Hydroxyquinoline,sulfate","C18H16N2O6S","nurse",NA,216227.7692,0,1
"1164","146.09233-73.5",146.09233,73.5,"DTXSID20197820","DTXSID20197820","N,N'-DIETHYL-N-NITROSOUREA","C5H11N3O2","nurse",NA,219710.5108,1,1
"1165","146.09233-73.5",146.09233,73.5,"DTXSID2020214","DTXSID2020214","N-N-BUTYL-N-NITROSOUREA","C5H11N3O2","nurse",NA,219710.5108,1,1
"1166","148.06072-45.2",148.06072,45.2,"DTXSID5020659","DTXSID5020659","L-Glutamic,acid","C5H9NO4","nurse",NA,327128.2802,0,1
"1167","148.06072-45.2",148.06072,45.2,"DTXSID6047155","DTXSID6047155","L-Glutamic,acid,hydrochloride","C5H10ClNO4","nurse",NA,327128.2802,0,1
"1168","148.06072-45.2",148.06072,45.2,"DTXSID5049239","DTXSID5049239","DL-Glutamic,acid,monohydrate","C5H11NO5","nurse",NA,327128.2802,0,1
"1169","148.0757-253",148.0757,253,"DTXSID30313099","DTXSID30313099","Methoxyphenylacetonitrile","C9H9NO","nurse",NA,5849.749922,0,0
"1170","148.0757-253",148.0757,253,"DTXSID5047663","DTXSID5047663","1-Furfurylpyrrole","C9H9NO","nurse",NA,5849.749922,0,0
"1171","148.0757-253",148.0757,253,"DTXSID7031458","DTXSID7031458","Indole-3-carbinol","C9H9NO","nurse",NA,5849.749922,0,0
"1172","152.10697-162.1",152.10697,162.1,"DTXSID2025896","DTXSID2025896","Phenylpropanolamine,hydrochloride","C9H14ClNO","nurse",NA,374409.945,0,1
"1173","152.10697-162.1",152.10697,162.1,"DTXSID3041293","DTXSID3041293","2-((Dimethylamino)methyl)phenol","C9H13NO","nurse",NA,374409.945,0,1
"1174","162.11266-61.9",162.11266,61.9,"DTXSID8045850","DTXSID8045850","Carnitine,hydrochloride","C7H16ClNO3","nurse",NA,350751.5089,0,1
"1175","162.11275-97.7",162.11275,97.7,"DTXSID2025395","DTXSID2025395","Hexamethyldisilazane","C6H19NSi2","nurse",NA,915743.577,0,1
"1176","162.11279-89.5",162.11279,89.5,"DTXSID2025395","DTXSID2025395","Hexamethyldisilazane","C6H19NSi2","nurse",NA,1063370.15,0,1
"1177","165.0911-224.2",165.0911,224.2,"DTXSID6041636","DTXSID6041636","(+/-)-alpha-Methylbenzyl,acetate","C10H12O2","nurse",NA,23914.12978,0,1
"1178","165.0911-224.2",165.0911,224.2,"DTXSID5044495","DTXSID5044495","4-(4-Hydroxyphenyl)butan-2-one","C10H12O2","nurse",NA,23914.12978,0,1
"1179","165.0911-224.2",165.0911,224.2,"DTXSID7044506","DTXSID7044506","2-Phenylethyl,acetate","C10H12O2","nurse",NA,23914.12978,0,1
"1180","165.0911-224.2",165.0911,224.2,"DTXSID4044878","DTXSID4044878","Propyl,benzoate","C10H12O2","nurse",NA,23914.12978,0,1
"1181","165.0911-224.2",165.0911,224.2,"DTXSID7022413","DTXSID7022413","Isoeugenol","C10H12O2","nurse",NA,23914.12978,1,1
"1182","165.0911-224.2",165.0911,224.2,"DTXSID4044791","DTXSID4044791","Benzyl,propanoate","C10H12O2","nurse",NA,23914.12978,0,1
"1183","165.0911-224.2",165.0911,224.2,"DTXSID8024862","DTXSID8024862","o-Cresyl,glycidyl,ether","C10H12O2","nurse",NA,23914.12978,0,1
"1184","165.0911-224.2",165.0911,224.2,"DTXSID2027414","DTXSID2027414","2,3-Dihydro-2,2-dimethyl-7-benzofuranol","C10H12O2","nurse",NA,23914.12978,0,1
