,featureid,ID,mz,time,DF_n,DF_ow,DF_blank,DF_diff,mean_N,sd_N,cv_N,median_N,gMean_N,mean_OW,sd_OW,cv_OW,median_OW,gMean_OW,SD_N/SD_OW,cv_N/cv_OW,mean_FB,sd_FB,cv_FB,median_FB,gMean_FB,Confidence,score,MatchCategory,theoretical.mz,delta_ppm,Formula,MonoisotopicMass,Adduct,mean_N_OW,percent_FB,DF_high_N,parent_id,DB_name,name_original,fragment?,SMILES_cleaned,name_cleaned,formula_cleaned,Molweight_cleaned,source,Drug_UCSF_PXYS,Drug_most.comon.and.haz,Disinfectant,Sesquiterpenoids,FRs,PFAS,exposurepred_bin,exposurepred_u95,MC,MC_list_cat,MGDev,ERactive_bin,ERactive_ER_AUC,E2Up_bin,E2UP_priority_level,P4Up_bin,P4Up_priority_level,pesticidemammarytumors_bin,VBtoxcast_bin,vbtoxcast_min_ac10,vbtoxcast_max_scaled_top,vbtoxcast_assay_sum,nitroPAH_bin,pellizzari_bin,phthalate,carcino,term,estimate,std.error,statistic,p.value,higher_intensity_N,metabolite,ESI,BC-relevant,">2XFB, higher N_Int, higher N df"
1353,213.01505-235.1,3835,213.01505,235.1,100,100,100,0,56379.00075,54107.99684,95.97189755,46788.0911,34836.98069,94191.86771,142224.5212,150.9944804,52908.08471,45110.63308,0.380440703,0.635598714,25011.59651,15434.43535,61.70911697,34146.00769,17121.26354,3,21386.13861,Multiple,213.015586,2.52,C5H5F7O,214.02286,M-H,75285.43423,33.22235804,0,DTXSID50382141,DTXSID50382141,"3:2,FLUOROTELOMER,ALCOHOL",?,OCCC(F)(F)C(F)(F)C(F)(F)F,"3,3,4,4,5,5,5-heptafluoropentan-1-ol",C5H5F7O,214.022862,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,-0.298100687,0.119714925,-2.490087918,0.013611529,0,0,neg,0,
1354,213.01505-235.1,4898,213.01505,235.1,100,100,100,0,56379.00075,54107.99684,95.97189755,46788.0911,34836.98069,94191.86771,142224.5212,150.9944804,52908.08471,45110.63308,0.380440703,0.635598714,25011.59651,15434.43535,61.70911697,34146.00769,17121.26354,3,21386.13861,Multiple,213.015586,2.52,C5H5F7O,214.02286,M-H,75285.43423,33.22235804,0,DTXSID60591585,DTXSID60591585,"METHYL,2H,2H-PERFLUOROBUTYL,ETHER",?,COCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-4-methoxybutane",C5H5F7O,214.022862,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,-0.298100687,0.119714925,-2.490087918,0.013611529,0,0,neg,0,
1355,213.01505-235.1,329,213.01505,235.1,100,100,100,0,56379.00075,54107.99684,95.97189755,46788.0911,34836.98069,94191.86771,142224.5212,150.9944804,52908.08471,45110.63308,0.380440703,0.635598714,25011.59651,15434.43535,61.70911697,34146.00769,17121.26354,3,21386.13861,Multiple,213.015586,2.52,C5H5F7O,214.02286,M-H,75285.43423,33.22235804,0,DTXSID00382171,DTXSID00382171,2(PERFLUORO-2-PROPYL)ETHANOL,?,OCCC(F)(C(F)(F)F)C(F)(F)F,"3,4,4,4-tetrafluoro-3-(trifluoromethyl)butan-1-ol",C5H5F7O,214.022862,PFAS,0,,0,0,,1,,,,,,,,,,,,,,,,,,,0,0,nurses1,-0.298100687,0.119714925,-2.490087918,0.013611529,0,0,neg,0,
1356,213.05532-493.5,800,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID1022425,DTXSID1022425,"4,4'-Dihydoxybenzophenone",,O=C(c1ccc(O)cc1)c1ccc(O)cc1,bis(4-hydroxyphenyl)methanone,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.191300188,6.053491382,2,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1357,213.05532-493.5,1035,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID1038321,DTXSID1038321,"3-Phenoxybenzoic,acid",,O=C(O)c1cccc(Oc2ccccc2)c1,3-phenoxybenzoic acid,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.233538943,5.696539244,4,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1358,213.05532-493.5,1040,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID1038878,DTXSID1038878,"Resorcinol,monobenzoate",,O=C(Oc1cccc(O)c1)c1ccccc1,(3-hydroxyphenyl) benzoate,C13H10O3,214.062994,exposurepred,,,,,,,1,0.669359235,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1359,213.05532-493.5,2082,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID3020540,DTXSID3020540,Diphenylcarbonate,,O=C(Oc1ccccc1)Oc1ccccc1,diphenyl carbonate,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.67335643,3.537668331,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1360,213.05532-493.5,3322,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID4047882,DTXSID4047882,Phenylparaben,,O=C(Oc1ccccc1)c1ccc(O)cc1,phenyl 4-hydroxybenzoate,C13H10O3,214.062994,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.275,,,,,,1,-1.701880735,15.72779493,7,,,0,0,NA,NA,NA,NA,NA,0,0,neg,1,
1361,213.05532-493.5,5788,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID8022404,DTXSID8022404,"2,2'-Dihydroxybenzophenone",,O=C(c1ccccc1O)c1ccccc1O,bis(2-hydroxyphenyl)methanone,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-4.422646,4.105372,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1362,213.05532-493.5,5789,213.05532,493.5,100,100,83.33333333,0,45826.18358,29538.62268,64.45795912,37443.47316,35734.77467,51876.31084,35161.71289,67.77990248,43079.10764,40543.78042,0.840079173,0.950989257,37227.79814,81173.08612,218.0442846,2678.893824,NA,2,10,Multiple,213.055718,1.87,C13H10O3,214.06299,M-H,48851.24721,76.20644358,0,DTXSID8022406,DTXSID8022406,"2,4-Dihydroxybenzophenone",,O=C(c1ccccc1)c1ccc(O)cc1O,"(2,4-dihydroxyphenyl)-phenylmethanone",C13H10O3,214.062994,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.266,,,,,,1,-2.941982052,86.16839097,12,,,0,0,NA,NA,NA,NA,NA,0,0,neg,1,
1363,213.05537-355.7,1040,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID1038878,DTXSID1038878,"Resorcinol,monobenzoate",,O=C(Oc1cccc(O)c1)c1ccccc1,(3-hydroxyphenyl) benzoate,C13H10O3,214.062994,exposurepred,,,,,,,1,0.669359235,,,,,,,,,,,,,,,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,0,
1364,213.05537-355.7,2082,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID3020540,DTXSID3020540,Diphenylcarbonate,,O=C(Oc1ccccc1)Oc1ccccc1,diphenyl carbonate,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.67335643,3.537668331,1,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,0,
1365,213.05537-355.7,1035,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID1038321,DTXSID1038321,"3-Phenoxybenzoic,acid",,O=C(O)c1cccc(Oc2ccccc2)c1,3-phenoxybenzoic acid,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.233538943,5.696539244,4,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,0,
1366,213.05537-355.7,800,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID1022425,DTXSID1022425,"4,4'-Dihydoxybenzophenone",,O=C(c1ccc(O)cc1)c1ccc(O)cc1,bis(4-hydroxyphenyl)methanone,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-0.191300188,6.053491382,2,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,0,
1367,213.05537-355.7,5788,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID8022404,DTXSID8022404,"2,2'-Dihydroxybenzophenone",,O=C(c1ccccc1O)c1ccccc1O,bis(2-hydroxyphenyl)methanone,C13H10O3,214.062994,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-4.422646,4.105372,1,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,0,
1368,213.05537-355.7,3322,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID4047882,DTXSID4047882,Phenylparaben,,O=C(Oc1ccccc1)c1ccc(O)cc1,phenyl 4-hydroxybenzoate,C13H10O3,214.062994,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.275,,,,,,1,-1.701880735,15.72779493,7,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,1,
1369,213.05537-355.7,5789,213.05537,355.7,100,100,100,0,24831.50046,19945.94387,80.32516562,20840.70322,19281.43293,18510.07324,11981.22069,64.72811063,15068.43373,15244.66877,1.664767255,1.240962618,15671.04449,15640.71265,99.80644661,12383.91302,9561.355451,2,10,Multiple,213.055718,1.63,C13H10O3,214.06299,M-H,21670.78685,72.31414621,0,DTXSID8022406,DTXSID8022406,"2,4-Dihydroxybenzophenone",,O=C(c1ccccc1)c1ccc(O)cc1O,"(2,4-dihydroxyphenyl)-phenylmethanone",C13H10O3,214.062994,"ERactive, VBtoxcast",,,,,,,,,,,,1,0.266,,,,,,1,-2.941982052,86.16839097,12,,,0,0,nurses1,0.350100586,0.116655068,3.001160523,0.003042914,1,0,neg,1,
1370,213.06625-435.8,5935,213.06625,435.8,100,100,100,0,11873.34878,10668.50633,89.85254733,8040.570958,8982.246597,10507.92559,10380.11896,98.78371205,7145.967272,7882.001029,1.027782665,0.909588691,17144.31925,23849.55598,139.1105452,4381.198663,5198.276012,2,10,Multiple,213.066952,3.29,C12H10N2O2,214.07423,M-H,11190.63719,153.2023509,0,DTXSID8027323,DTXSID8027323,4-Nitro-N-phenylaniline,,O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,4-nitro-N-phenylaniline,C12H10N2O2,214.074228,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.765618,8.7443,17,,,0,0,nurses1,0.13911378,0.072058025,1.930579976,0.054992922,1,0,neg,0,
1371,213.06625-435.8,2989,213.06625,435.8,100,100,100,0,11873.34878,10668.50633,89.85254733,8040.570958,8982.246597,10507.92559,10380.11896,98.78371205,7145.967272,7882.001029,1.027782665,0.909588691,17144.31925,23849.55598,139.1105452,4381.198663,5198.276012,2,10,Multiple,213.066952,3.29,C12H10N2O2,214.07423,M-H,11190.63719,153.2023509,0,DTXSID4025749,DTXSID4025749,2-Nitrodiphenylamine,,O=[N+]([O-])c1ccccc1Nc1ccccc1,2-nitro-N-phenylaniline,C12H10N2O2,214.074228,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.456168733,3.982392942,1,,,0,0,nurses1,0.13911378,0.072058025,1.930579976,0.054992922,1,0,neg,0,
1372,213.06672-190.8,2989,213.06672,190.8,100,100,100,0,19474.80144,25138.98167,129.0846623,12438.49757,14025.09718,16152.27807,11395.61802,70.55115056,10689.62815,13203.04549,2.20602179,1.829660626,1810.252936,2168.545145,119.7923838,614.998172,784.1541855,2,10,Multiple,213.066952,1.09,C12H10N2O2,214.07423,M-H,17813.53976,10.16223031,0,DTXSID4025749,DTXSID4025749,2-Nitrodiphenylamine,,O=[N+]([O-])c1ccccc1Nc1ccccc1,2-nitro-N-phenylaniline,C12H10N2O2,214.074228,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.456168733,3.982392942,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1373,213.06672-190.8,5935,213.06672,190.8,100,100,100,0,19474.80144,25138.98167,129.0846623,12438.49757,14025.09718,16152.27807,11395.61802,70.55115056,10689.62815,13203.04549,2.20602179,1.829660626,1810.252936,2168.545145,119.7923838,614.998172,784.1541855,2,10,Multiple,213.066952,1.09,C12H10N2O2,214.07423,M-H,17813.53976,10.16223031,0,DTXSID8027323,DTXSID8027323,4-Nitro-N-phenylaniline,,O=[N+]([O-])c1ccc(Nc2ccccc2)cc1,4-nitro-N-phenylaniline,C12H10N2O2,214.074228,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.765618,8.7443,17,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1374,213.09348-84.9,2393,213.09348,84.9,100,100,83.33333333,0,121772.9594,46793.07624,38.42649177,124512.4936,112257.4869,129282.2421,47265.57475,36.55998997,133320.2818,118261.5787,0.990003327,1.051053127,1756.710193,2828.111008,160.9890476,703.3765261,NA,3,24059.40594,Multiple,213.092104,6.46,C14H14O2,214.09938,M-H,125527.6008,1.399461299,0,DTXSID3034583,DTXSID3034583,"Ethyl,1-naphthaleneacetate",,CCOC(=O)Cc1cccc2ccccc12,ethyl 2-naphthalen-1-ylacetate,C14H14O2,214.09938,"exposurepred, VBtoxcast",,,,,,,1,0.105044128,,,,,,,,,,,1,-2.13776212,3.638286887,2,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1375,213.09348-84.9,2634,213.09348,84.9,100,100,83.33333333,0,121772.9594,46793.07624,38.42649177,124512.4936,112257.4869,129282.2421,47265.57475,36.55998997,133320.2818,118261.5787,0.990003327,1.051053127,1756.710193,2828.111008,160.9890476,703.3765261,NA,3,24059.40594,Multiple,213.092104,6.46,C14H14O2,214.09938,M-H,125527.6008,1.399461299,0,DTXSID3047891,DTXSID3047891,"Bisphenol,E",,CC(c1ccc(O)cc1)c1ccc(O)cc1,4-[1-(4-hydroxyphenyl)ethyl]phenol,C14H14O2,214.09938,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.4685199,7.818718336,9,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1376,213.09348-84.9,3710,213.09348,84.9,100,100,83.33333333,0,121772.9594,46793.07624,38.42649177,124512.4936,112257.4869,129282.2421,47265.57475,36.55998997,133320.2818,118261.5787,0.990003327,1.051053127,1756.710193,2828.111008,160.9890476,703.3765261,NA,3,24059.40594,Multiple,213.092104,6.46,C14H14O2,214.09938,M-H,125527.6008,1.399461299,0,DTXSID5026706,DTXSID5026706,"1,2-Diphenoxyethane",,c1ccc(OCCOc2ccccc2)cc1,2-phenoxyethoxybenzene,C14H14O2,214.09938,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-3.683379691,3.848345988,4,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1377,213.11301-734.5,1722,213.11301,734.5,86.66666667,76.25,58.33333333,10.41666667,3090.021905,5070.118475,164.0803409,872.8957662,NA,1742.373445,2948.458563,169.2208161,381.1002136,NA,1.719582747,0.969622678,1907.941624,2438.29982,127.7974016,555.2293071,NA,2,10,Multiple,213.11457,7.32,C12H14N4,214.12185,M-H,2416.197675,78.96463292,1,DTXSID2036827,DTXSID2036827,"3,3'-Diaminobenzidine",,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,"4-(3,4-diaminophenyl)benzene-1,2-diamine",C12H14N4,214.121846,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.169027,21.63578,8,,,0,0,nurses1,1.491934232,0.455713472,3.273842721,0.001256261,1,0,neg,0,
1378,213.11301-734.5,5017,213.11301,734.5,86.66666667,76.25,58.33333333,10.41666667,3090.021905,5070.118475,164.0803409,872.8957662,NA,1742.373445,2948.458563,169.2208161,381.1002136,NA,1.719582747,0.969622678,1907.941624,2438.29982,127.7974016,555.2293071,NA,2,10,Multiple,213.11457,7.32,C12H18Cl4N4,214.12185,M-H,2416.197675,78.96463292,1,DTXSID7021312,DTXSID7021312,"3,3',4,4'-Tetraaminobiphenyl,tetrahydrochloride",,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,"4-(3,4-diaminophenyl)benzene-1,2-diamine",C12H18Cl4N4,214.121846,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.926627,6.269866,8,,,0,0,nurses1,1.491934232,0.455713472,3.273842721,0.001256261,1,0,neg,0,
1379,213.11306-295,1722,213.11306,295,100,100,91.66666667,0,27920.10126,21622.31933,77.44355626,22011.43261,20731.84307,19938.23941,16201.26426,81.25724606,15319.32888,15101.47013,1.334606916,0.953066465,9283.020219,10179.6832,109.659173,7429.393184,NA,2,10,Multiple,213.11457,7.09,C12H14N4,214.12185,M-H,23929.17034,38.79374039,0,DTXSID2036827,DTXSID2036827,"3,3'-Diaminobenzidine",,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,"4-(3,4-diaminophenyl)benzene-1,2-diamine",C12H14N4,214.121846,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.169027,21.63578,8,,,0,0,nurses1,0.46008165,0.093684557,4.910965755,1.92E-06,1,0,neg,0,1
1380,213.11306-295,5017,213.11306,295,100,100,91.66666667,0,27920.10126,21622.31933,77.44355626,22011.43261,20731.84307,19938.23941,16201.26426,81.25724606,15319.32888,15101.47013,1.334606916,0.953066465,9283.020219,10179.6832,109.659173,7429.393184,NA,2,10,Multiple,213.11457,7.09,C12H18Cl4N4,214.12185,M-H,23929.17034,38.79374039,0,DTXSID7021312,DTXSID7021312,"3,3',4,4'-Tetraaminobiphenyl,tetrahydrochloride",,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,"4-(3,4-diaminophenyl)benzene-1,2-diamine",C12H18Cl4N4,214.121846,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-1.926627,6.269866,8,,,0,0,nurses1,0.46008165,0.093684557,4.910965755,1.92E-06,1,0,neg,0,1
1381,213.11308-176.7,1722,213.11308,176.7,100,100,83.33333333,0,50997.76338,52428.07022,102.8046462,35151.2788,36511.34322,43462.96461,35538.24019,81.7667191,33633.7839,32337.69867,1.475257918,1.257292054,1212.597133,1618.390686,133.4648288,341.7214833,NA,2,10,Unique,213.11457,6.99,C12H14N4,214.12185,M-H,47230.364,2.567410094,0,DTXSID2036827,DTXSID2036827,"3,3'-Diaminobenzidine",,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,"4-(3,4-diaminophenyl)benzene-1,2-diamine",C12H14N4,214.121846,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.169027,21.63578,8,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1382,213.14936-509.7,5417,213.14936,509.7,100,100,100,0,155153.221,102197.4912,65.86875255,118129.3411,128694.4692,179937.1608,137207.8882,76.25322509,137093.9593,137471.3901,0.744836849,0.863815956,26208.44502,27292.01527,104.1344316,13914.35419,12879.33969,3,26213.59223,Multiple,213.149619,1.22,C12H22O3,214.15689,M-H,167545.1909,15.64261253,0,DTXSID7044556,DTXSID7044556,"3-O-Acetyl-1,5-anhydro-2,4-dideoxy-2-pentylpentitol",,CCCCCC1COCCC1OC(C)=O,(3-pentyloxan-4-yl) acetate,C12H22O3,214.156895,exposurepred,,,,,,,1,3.598411,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1383,213.14936-509.7,5442,213.14936,509.7,100,100,100,0,155153.221,102197.4912,65.86875255,118129.3411,128694.4692,179937.1608,137207.8882,76.25322509,137093.9593,137471.3901,0.744836849,0.863815956,26208.44502,27292.01527,104.1344316,13914.35419,12879.33969,3,26213.59223,Multiple,213.149619,1.22,C12H22O3,214.15689,M-H,167545.1909,15.64261253,0,DTXSID7044976,DTXSID7044976,"2,2-Bis[(prop-2-en-1-yloxy)methyl]butan-1-ol",,C=CCOCC(CC)(CO)COCC=C,"2,2-bis(prop-2-enoxymethyl)butan-1-ol",C12H22O3,214.156895,exposurepred,,,,,,,1,12.581799,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1384,213.1857-793,3713,213.1857,793,100,100,100,0,295018.4995,195741.7105,66.34896144,236826.6423,248973.3077,309105.8541,150483.6325,48.68352719,291531.6833,269393.0835,1.300750834,1.362862661,65882.72995,30884.16789,46.87748657,62890.27877,59310.32011,3,25714.28571,Unique,213.186004,1.43,C13H26O2,214.19328,M-H,302062.1768,21.81098297,0,DTXSID5026889,DTXSID5026889,"Methyl,dodecanoate",,CCCCCCCCCCCC(=O)OC,methyl dodecanoate,C13H26O2,214.19328,"exposurepred, VBtoxcast",,,,,,,1,2.102331861,,,,,,,,,,,1,-1.01557194,3.827362396,2,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1385,214.10827-368.2,1356,214.10827,368.2,94.16666667,91.25,100,2.916666667,2830.259666,3828.76724,135.2797161,1860.064392,NA,4007.955282,8700.595103,217.0831382,1656.197734,NA,0.440058087,0.623170078,4874.165819,3471.827493,71.22916252,4548.019058,3573.977349,2,10,Unique,214.108482,0.99,C10H17NO4,215.11576,M-H,3419.107474,142.5566718,0,DTXSID1069798,DTXSID1069798,"2-Propenoic,acid,,2-[[(butylamino)carbonyl]oxy]ethyl,ester",,C=CC(=O)OCCOC(=O)NCCCC,2-(butylcarbamoyloxy)ethyl prop-2-enoate,C10H17NO4,215.115758,exposurepred,,,,,,,1,0.410431108,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1386,214.10843-220.4,1356,214.10843,220.4,81.66666667,82.5,100,-0.833333333,27139.86075,34513.87221,127.1704101,10006.9437,NA,27970.17507,30413.51623,108.7355233,12199.08081,NA,1.134820188,1.169538769,85676.15274,63892.80641,74.57478466,76371.41342,65178.51642,2,10,Unique,214.108482,0.24,C10H17NO4,215.11576,M-H,27555.01791,310.9275887,0,DTXSID1069798,DTXSID1069798,"2-Propenoic,acid,,2-[[(butylamino)carbonyl]oxy]ethyl,ester",,C=CC(=O)OCCOC(=O)NCCCC,2-(butylcarbamoyloxy)ethyl prop-2-enoate,C10H17NO4,215.115758,exposurepred,,,,,,,1,0.410431108,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1387,214.14475-284,6748,214.14475,284,100,100,100,0,908251.1552,961918.1192,105.9088242,691271.2271,699357.6232,993844.5299,1384169.106,139.2742088,614166.3528,643521.6014,0.69494263,0.76043386,888375.6192,774632.7783,87.19653731,672879.9479,681002.465,3,51923.07692,Unique,214.144868,0.55,C11H21NO3,215.15214,M-H,951047.8426,93.41019237,0,DTXSID9035753,DTXSID9035753,"Ethyl,3-(N-butylacetamido)propionate",,CCCCN(CCC(=O)OCC)C(C)=O,ethyl 3-[acetyl(butyl)amino]propanoate,C11H21NO3,215.152144,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-4.863942347,3.093562707,2,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1388,215.03335-67,894,215.03335,67,100,100,75,0,1595512.351,557159.7783,34.92043029,1616471.925,1489916.956,1583505.114,510391.02,32.23172541,1689521.668,1485891.174,1.091633192,1.083417963,2077.027156,2478.488935,119.3286726,971.194441,NA,3,21696.42857,Multiple,215.034983,7.59,C12H8O4,216.04226,M-H,1589508.732,0.130671013,0,DTXSID1025560,DTXSID1025560,5-Methoxypsoralen,,COc1c2ccoc2cc2oc(=O)ccc12,"4-methoxyfuro[3,2-g]chromen-7-one",C12H8O4,216.042259,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.175954611,5.660613286,5,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
1389,215.03335-67,1962,215.03335,67,100,100,75,0,1595512.351,557159.7783,34.92043029,1616471.925,1489916.956,1583505.114,510391.02,32.23172541,1689521.668,1485891.174,1.091633192,1.083417963,2077.027156,2478.488935,119.3286726,971.194441,NA,3,21696.42857,Multiple,215.032538,3.78,C10H7F3O2,216.03981,M-H,1589508.732,0.130671013,0,DTXSID2049268,DTXSID2049268,"4,4,4-Trifluoro-1-phenyl-1,3-butanedione",,O=C(CC(=O)C(F)(F)F)c1ccccc1,"4,4,4-trifluoro-1-phenylbutane-1,3-dione",C10H7F3O2,216.039814,VBtoxcast,,,,,,,,,,,,,,,,,,,1,-2.847980667,6.256882601,1,,,0,0,NA,NA,NA,NA,NA,0,0,neg,0,
